Document_ID,Company_Name,Statement,Financial_Year,Quarter,Revenue,Expenses,Profit,Assets,Liabilities,Equity,Profit_Margin,Profit_Category,Year,Growth_Rate,Debt_to_Equity_Ratio,Return_on_Assets,Current_Ratio,Cash_Flow,Investment_Score,Risk_Level
DOC_0011,Reed-Villanueva,"Revenue for Q3 2018 was 25837988.09 with corresponding expenses of 14985807.05, leading to a profit of 10852181.04. Risk profile: Low.",2019-2020,Q3,25837988.09,14985807.05,10852181.04,52075859.63,5638031.33,46437828.3,42.0,High,2018,-2.2,0.12,20.84,1.6,9830254.06,80.43,Low
DOC_0012,Reynolds-Morrison,The firm achieved a profit of 14599075.66 during Q2 2022 with total revenue reaching 20097966.79 and expenses of 5498891.13. The risk level was assessed as Low.,2023-2024,Q2,20097966.79,5498891.13,14599075.66,15598045.71,42941774.94,-27343729.23,72.64,High,2022,-5.75,-1.57,93.6,1.95,13437840.15,93.99,Low
DOC_0013,Collier Inc,"Revenue for Q2 2018 was 42829756.6 with corresponding expenses of 20280226.97, leading to a profit of 22549529.63. Risk profile: High.",2018-2019,Q2,42829756.6,20280226.97,22549529.63,50466187.28,49580439.18,885748.1,52.65,High,2018,10.24,55.98,44.68,2.33,22375133.19,58.01,High
DOC_0014,"Haas, Howard and Phillips","In Q2 2024, the company recorded a revenue of 29096295.28 and expenses of 18813209.23, resulting in a profit of 10283086.05. Overall performance was classified as High.",2021-2022,Q2,29096295.28,18813209.23,10283086.05,55121213.29,27558724.78,27562488.51,35.34,High,2024,11.55,1.0,18.66,0.64,10215877.71,94.0,Low
DOC_0015,Huffman Group,The firm achieved a profit of 35744256.18 during Q2 2018 with total revenue reaching 42745977.08 and expenses of 7001720.9. The risk level was assessed as Low.,2023-2024,Q2,42745977.08,7001720.9,35744256.18,30595306.32,48384221.27,-17788914.95,83.62,High,2018,6.47,-2.72,116.83,1.84,34244846.3,77.21,Low
DOC_0016,Butler Inc,"Q2 2021 performance shows revenue at 10935878.76, expenses at 14840188.41, and profit reaching -3904309.65. The period closed with a Low margin.",2018-2019,Q2,10935878.76,14840188.41,-3904309.65,1027287.8,1263836.42,-236548.62,-35.7,Low,2021,4.9,-5.34,-380.06,0.69,-3778763.68,72.69,High
DOC_0017,Reilly-Nelson,"In Q2 2024, the organization maintained a growth rate of 4.94%, achieving High profit levels and High investment risk.",2022-2023,Q2,42338373.95,6287146.66,36051227.29,21138125.52,28582933.62,-7444808.1,85.15,High,2024,4.94,-3.84,170.55,0.88,32847531.94,46.04,High
DOC_0018,"Shaw, Russell and Russell","Q2 2021 performance shows revenue at 11733008.37, expenses at 20174408.31, and profit reaching -8441399.94. The period closed with a Low margin.",2023-2024,Q2,11733008.37,20174408.31,-8441399.94,46428210.38,28479104.53,17949105.85,-71.95,Low,2021,9.19,1.59,-18.18,1.76,-8871892.52,42.02,High
DOC_0019,"Solis, Fowler and Santos","In Q4 2022, the organization maintained a growth rate of 0.96%, achieving High profit levels and High investment risk.",2020-2021,Q4,41425326.04,9920494.24,31504831.8,2637634.04,42217422.22,-39579788.18,76.05,High,2022,0.96,-1.07,1194.44,1.61,28568292.81,55.13,High
DOC_0020,"Vazquez, Fuller and Wolfe","Q4 2022 performance shows revenue at 24290208.69, expenses at 12309214.51, and profit reaching 11980994.18. The period closed with a High margin.",2024-2025,Q4,24290208.69,12309214.51,11980994.18,17276559.9,18373406.72,-1096846.82,49.32,High,2022,8.36,-16.75,69.35,2.84,11492443.36,66.03,Low
DOC_0021,Collins Ltd,"For Q1 2024, the firm achieved a 19.34% growth rate, with total revenue of 9335737.3, profit of -4396821.58, and categorized as High risk.",2018-2019,Q1,9335737.3,13732558.88,-4396821.58,50232348.34,12887735.25,37344613.09,-47.1,Low,2024,19.34,0.35,-8.75,1.54,-4553973.19,88.12,High
DOC_0022,"Charles, Harris and Perez","In Q3 2024, the organization maintained a growth rate of -6.86%, achieving High profit levels and Low investment risk.",2019-2020,Q3,37545165.27,11288795.97,26256369.3,88756921.84,39490599.47,49266322.37,69.93,High,2024,-6.86,0.8,29.58,0.62,25171323.36,70.12,Low
DOC_0023,Sanford-Moore,2024 Q1 results indicate a profit of 30954776.18 with 11.99% growth and classified as Low risk under High margin.,2019-2020,Q1,35565838.13,4611061.95,30954776.18,47049933.34,8462749.74,38587183.6,87.04,High,2024,11.99,0.22,65.79,0.83,31336759.89,65.62,Low
DOC_0024,Walker LLC,The firm achieved a profit of -14626564.06 during Q3 2022 with total revenue reaching 9717685.19 and expenses of 24344249.25. The risk level was assessed as High.,2020-2021,Q3,9717685.19,24344249.25,-14626564.06,61746173.79,26498109.09,35248064.7,-150.51,Low,2022,0.51,0.75,-23.69,1.36,-14814998.23,49.87,High
DOC_0025,Bennett-Jackson,2021 Q3 results indicate a profit of 9999413.33 with 24.15% growth and classified as High risk under High margin.,2022-2023,Q3,33617216.37,23617803.04,9999413.33,44306897.49,940590.45,43366307.04,29.74,High,2021,24.15,0.02,22.57,2.26,9540859.76,48.14,High
DOC_0026,"Martinez, Peters and Martinez","In Q4 2018, the organization maintained a growth rate of 6.8%, achieving Medium profit levels and Medium investment risk.",2024-2025,Q4,19007136.58,16725133.95,2282002.63,13137618.43,34282368.36,-21144749.93,12.01,Medium,2018,6.8,-1.62,17.37,2.86,2209530.95,81.67,Medium
DOC_0027,"Nguyen, Wilson and Grant","Revenue for Q1 2021 was 42609282.92 with corresponding expenses of 7973367.47, leading to a profit of 34635915.45. Risk profile: High.",2018-2019,Q1,42609282.92,7973367.47,34635915.45,1540333.55,3049880.67,-1509547.12,81.29,High,2021,12.75,-2.02,2248.6,1.61,37156947.58,43.66,High
DOC_0028,"Taylor, Morris and Harrison",The firm achieved a profit of 4165892.12 during Q2 2020 with total revenue reaching 4758660.12 and expenses of 592768.0. The risk level was assessed as High.,2019-2020,Q2,4758660.12,592768.0,4165892.12,91846961.65,13499490.84,78347470.81,87.54,High,2020,2.95,0.17,4.54,1.82,4498601.89,47.61,High
DOC_0029,"Sanchez, Summers and Stone","For Q4 2022, the firm achieved a 4.55% growth rate, with total revenue of 42680518.26, profit of 22504317.86, and categorized as Low risk.",2020-2021,Q4,42680518.26,20176200.4,22504317.86,20824115.76,22968216.49,-2144100.73,52.73,High,2022,4.55,-10.71,108.07,2.38,23732186.98,71.86,Low
DOC_0030,Lewis Group,The firm achieved a profit of 38616318.83 during Q1 2022 with total revenue reaching 44646708.97 and expenses of 6030390.14. The risk level was assessed as Low.,2023-2024,Q1,44646708.97,6030390.14,38616318.83,27254353.31,8240875.9,19013477.41,86.49,High,2022,9.9,0.43,141.69,0.73,36415388.24,93.07,Low
DOC_0031,Stone PLC,"For Q2 2023, the firm achieved a 24.74% growth rate, with total revenue of 26776086.82, profit of 18601306.5, and categorized as Low risk.",2018-2019,Q2,26776086.82,8174780.32,18601306.5,53528891.4,20678394.86,32850496.54,69.47,High,2023,24.74,0.63,34.75,2.57,18171770.34,75.98,Low
DOC_0032,Mueller Inc,"For Q4 2020, financial growth stood at 11.28%, with profit margins rated as Low and overall investment risk categorized as High.",2018-2019,Q4,16771407.23,29337652.27,-12566245.04,15647257.23,18662348.18,-3015090.95,-74.93,Low,2020,11.28,-6.19,-80.31,0.94,-12648592.47,56.54,High
DOC_0033,"Williams, Benjamin and Anderson","Q4 2020 performance shows revenue at 35751472.5, expenses at 10719072.95, and profit reaching 25032399.55. The period closed with a High margin.",2020-2021,Q4,35751472.5,10719072.95,25032399.55,50617489.74,10961451.58,39656038.16,70.02,High,2020,8.8,0.28,49.45,1.41,26042421.29,68.21,Low
DOC_0034,Murphy-Lee,"In Q3 2024, the company recorded a revenue of 11697105.96 and expenses of 10436368.11, resulting in a profit of 1260737.85. Overall performance was classified as Medium.",2018-2019,Q3,11697105.96,10436368.11,1260737.85,96152152.87,4878979.15,91273173.72,10.78,Medium,2024,-9.35,0.05,1.31,2.9,1159206.49,78.07,Medium
DOC_0035,Blair-Shaw,The firm achieved a profit of 17200412.06 during Q4 2021 with total revenue reaching 38075438.82 and expenses of 20875026.76. The risk level was assessed as Low.,2024-2025,Q4,38075438.82,20875026.76,17200412.06,74180740.25,28931559.27,45249180.98,45.17,High,2021,4.68,0.64,23.19,0.63,16031629.38,87.43,Low
DOC_0036,Cox PLC,"For Q3 2019, the firm achieved a 16.63% growth rate, with total revenue of 34819284.25, profit of 26903730.69, and categorized as High risk.",2024-2025,Q3,34819284.25,7915553.56,26903730.69,99522770.61,39805920.61,59716850.0,77.27,High,2019,16.63,0.67,27.03,2.29,28692266.5,43.95,High
DOC_0037,Gonzalez-Sampson,"In Q2 2021, the company recorded a revenue of 8751568.71 and expenses of 1431514.84, resulting in a profit of 7320053.87. Overall performance was classified as High.",2018-2019,Q2,8751568.71,1431514.84,7320053.87,95650096.7,12299676.89,83350419.81,83.64,High,2021,20.9,0.15,7.65,2.09,7900220.8,83.23,Low
DOC_0038,Johnson-White,"In Q1 2020, the company recorded a revenue of 33804748.24 and expenses of 21629815.08, resulting in a profit of 12174933.16. Overall performance was classified as High.",2018-2019,Q1,33804748.24,21629815.08,12174933.16,35031186.49,10415309.41,24615877.08,36.02,High,2020,9.21,0.42,34.75,2.55,11927727.55,77.05,Low
DOC_0039,Rivera LLC,"Q1 2019 performance shows revenue at 33190423.5, expenses at 5187400.66, and profit reaching 28003022.84. The period closed with a High margin.",2019-2020,Q1,33190423.5,5187400.66,28003022.84,95644823.76,34922495.43,60722328.33,84.37,High,2019,9.06,0.58,29.28,2.49,30460121.35,61.46,Low
DOC_0040,Norris and Sons,The firm achieved a profit of 3225938.44 during Q4 2022 with total revenue reaching 13236726.98 and expenses of 10010788.54. The risk level was assessed as High.,2022-2023,Q4,13236726.98,10010788.54,3225938.44,76415018.08,14518484.72,61896533.36,24.37,High,2022,-5.79,0.23,4.22,2.57,3501380.05,43.4,High
DOC_0041,"Smith, Brown and Buck","Q4 2018 performance shows revenue at 21499999.9, expenses at 21772075.44, and profit reaching -272075.54. The period closed with a Low margin.",2021-2022,Q4,21499999.9,21772075.44,-272075.54,68597626.4,36026403.62,32571222.78,-1.27,Low,2018,-7.21,1.11,-0.4,0.52,-298202.07,60.88,High
DOC_0042,"Stevens, Gonzales and Pitts","In Q2 2023, the company recorded a revenue of 2587339.13 and expenses of 19112132.92, resulting in a profit of -16524793.79. Overall performance was classified as Low.",2023-2024,Q2,2587339.13,19112132.92,-16524793.79,29123661.1,34552140.4,-5428479.3,-638.68,Low,2023,-7.91,-6.36,-56.74,1.68,-17874885.91,79.48,High
DOC_0043,"Rogers, Peterson and Rosales","Q4 2024 performance shows revenue at 48919955.07, expenses at 13251397.5, and profit reaching 35668557.57. The period closed with a High margin.",2020-2021,Q4,48919955.07,13251397.5,35668557.57,35438116.02,47330609.82,-11892493.8,72.91,High,2024,17.87,-3.98,100.65,1.1,36582682.9,78.51,Low
DOC_0044,Green-White,"Q4 2020 performance shows revenue at 18051963.94, expenses at 14184761.6, and profit reaching 3867202.34. The period closed with a High margin.",2021-2022,Q4,18051963.94,14184761.6,3867202.34,62643082.26,49492097.39,13150984.87,21.42,High,2020,22.73,3.76,6.17,2.35,3981765.35,71.16,Low
DOC_0045,Bonilla-Perez,"For Q1 2022, financial growth stood at -6.16%, with profit margins rated as High and overall investment risk categorized as High.",2019-2020,Q1,27025917.17,1872425.01,25153492.16,19980808.6,27568557.41,-7587748.81,93.07,High,2022,-6.16,-3.63,125.89,1.99,24576881.66,58.73,High
DOC_0046,"Bell, Franklin and Cooper","For Q2 2020, financial growth stood at -5.89%, with profit margins rated as Low and overall investment risk categorized as High.",2019-2020,Q2,8499106.93,27475401.37,-18976294.44,4659207.48,49356209.53,-44697002.05,-223.27,Low,2020,-5.89,-1.1,-407.29,1.85,-18772578.06,65.84,High
DOC_0047,"Smith, Atkins and Rivera","The company's Q3 2023 financials reflect a Low margin and High risk, supported by -1.0% growth in profitability.",2024-2025,Q3,20131390.27,25526560.43,-5395170.16,53917273.02,9884499.94,44032773.08,-26.8,Low,2023,-1.0,0.22,-10.01,1.02,-5679936.75,89.44,High
DOC_0048,Perkins-Clark,The firm achieved a profit of -6197447.93 during Q2 2020 with total revenue reaching 18679220.85 and expenses of 24876668.78. The risk level was assessed as High.,2022-2023,Q2,18679220.85,24876668.78,-6197447.93,56024033.54,11270272.61,44753760.93,-33.18,Low,2020,11.36,0.25,-11.06,0.96,-5905993.26,46.06,High
DOC_0049,"Ortiz, Anderson and Jensen",2018 Q3 results indicate a profit of 7501582.98 with 19.18% growth and classified as Low risk under High margin.,2020-2021,Q3,36765353.35,29263770.37,7501582.98,49124155.22,9169245.74,39954909.48,20.4,High,2018,19.18,0.23,15.27,2.55,7035882.92,94.78,Low
DOC_0050,Jackson PLC,The firm achieved a profit of 36704439.59 during Q3 2021 with total revenue reaching 45502464.19 and expenses of 8798024.6. The risk level was assessed as High.,2022-2023,Q3,45502464.19,8798024.6,36704439.59,79927653.27,28222539.13,51705114.14,80.66,High,2021,14.27,0.55,45.92,1.11,40140462.44,57.77,High
DOC_0051,"Steele, Hernandez and Adams",The firm achieved a profit of 20943520.98 during Q2 2022 with total revenue reaching 28863356.91 and expenses of 7919835.93. The risk level was assessed as Low.,2018-2019,Q2,28863356.91,7919835.93,20943520.98,37135137.42,30233338.98,6901798.44,72.56,High,2022,-8.7,4.38,56.4,1.27,22770460.99,73.37,Low
DOC_0052,"Goodman, Cook and Johnson",2022 Q4 results indicate a profit of -9810726.18 with 4.01% growth and classified as High risk under Low margin.,2020-2021,Q4,12655806.48,22466532.66,-9810726.18,16412917.24,45558768.96,-29145851.72,-77.52,Low,2022,4.01,-1.56,-59.77,1.13,-10524446.32,41.12,High
DOC_0053,"Jennings, Holt and Rodgers","Q2 2022 performance shows revenue at 45468611.33, expenses at 12202958.44, and profit reaching 33265652.89. The period closed with a High margin.",2018-2019,Q2,45468611.33,12202958.44,33265652.89,6791463.08,9548837.93,-2757374.85,73.16,High,2022,21.35,-3.46,489.82,0.75,36212430.89,69.89,Low
DOC_0054,"Cook, King and Nunez","In Q2 2020, the company recorded a revenue of 7588719.76 and expenses of 29439579.99, resulting in a profit of -21850860.23. Overall performance was classified as Low.",2019-2020,Q2,7588719.76,29439579.99,-21850860.23,44457708.97,20667588.1,23790120.87,-287.94,Low,2020,-8.51,0.87,-49.15,2.53,-22483659.36,65.16,High
DOC_0055,Montgomery PLC,"Q3 2019 performance shows revenue at 45960892.65, expenses at 22038502.4, and profit reaching 23922390.25. The period closed with a High margin.",2021-2022,Q3,45960892.65,22038502.4,23922390.25,72690543.32,27745696.8,44944846.52,52.05,High,2019,0.69,0.62,32.91,0.52,22717039.68,52.93,High
DOC_0056,"Myers, Martin and Shepherd",2023 Q3 results indicate a profit of 130120.2 with 14.67% growth and classified as High risk under Low margin.,2020-2021,Q3,13429969.16,13299848.96,130120.2,60339535.36,26373036.81,33966498.55,0.97,Low,2023,14.67,0.78,0.22,0.7,141632.74,58.97,High
DOC_0057,Trujillo-Torres,"Revenue for Q1 2023 was 32042836.83 with corresponding expenses of 11885330.5, leading to a profit of 20157506.33. Risk profile: Low.",2020-2021,Q1,32042836.83,11885330.5,20157506.33,37451750.17,48876563.04,-11424812.87,62.91,High,2023,-0.95,-4.28,53.82,1.64,21254371.76,70.07,Low
DOC_0058,Hebert Inc,"For Q2 2023, financial growth stood at 19.9%, with profit margins rated as Low and overall investment risk categorized as High.",2018-2019,Q2,6004000.63,8621993.65,-2617993.02,44900031.73,11612788.35,33287243.38,-43.6,Low,2023,19.9,0.35,-5.83,1.28,-2386863.24,47.5,High
DOC_0059,Gentry Group,"For Q2 2024, financial growth stood at 20.78%, with profit margins rated as High and overall investment risk categorized as Low.",2021-2022,Q2,28573979.51,10991759.68,17582219.83,27361125.8,11354728.02,16006397.78,61.53,High,2024,20.78,0.71,64.26,1.98,18702314.59,69.09,Low
DOC_0060,Thomas-Patrick,"In Q3 2021, the company recorded a revenue of 21527808.99 and expenses of 3831977.54, resulting in a profit of 17695831.45. Overall performance was classified as High.",2019-2020,Q3,21527808.99,3831977.54,17695831.45,83814516.99,9890223.28,73924293.71,82.2,High,2021,13.42,0.13,21.11,2.49,17426252.45,91.82,Low
DOC_0061,Williams-Hamilton,"Revenue for Q1 2022 was 22009458.4 with corresponding expenses of 24792717.24, leading to a profit of -2783258.84. Risk profile: High.",2019-2020,Q1,22009458.4,24792717.24,-2783258.84,91150096.18,26045273.2,65104822.98,-12.65,Low,2022,16.26,0.4,-3.05,2.87,-2578133.24,62.8,High
DOC_0062,Davenport-Ramirez,"Q4 2018 performance shows revenue at 27779844.95, expenses at 7403049.18, and profit reaching 20376795.77. The period closed with a High margin.",2022-2023,Q4,27779844.95,7403049.18,20376795.77,61356543.71,5613732.27,55742811.44,73.35,High,2018,15.78,0.1,33.21,2.89,19503791.07,80.96,Low
DOC_0063,"Solomon, Leonard and Taylor","During Q1 2019, revenue totaled 46344792.09, while expenses were 18501954.73. The profit outcome was 27842837.36, marking a High performance category.",2020-2021,Q1,46344792.09,18501954.73,27842837.36,17351948.11,11854918.1,5497030.01,60.08,High,2019,12.03,2.16,160.46,1.38,28302088.94,58.99,High
DOC_0064,Shepherd PLC,The firm achieved a profit of 29424828.26 during Q3 2019 with total revenue reaching 32832552.06 and expenses of 3407723.8. The risk level was assessed as Low.,2024-2025,Q3,32832552.06,3407723.8,29424828.26,67347302.23,29081804.75,38265497.48,89.62,High,2019,22.09,0.76,43.69,0.73,27162912.44,63.37,Low
DOC_0065,"Davis, Barton and Price","For Q4 2022, the firm achieved a -8.97% growth rate, with total revenue of 3932900.84, profit of -17243170.79, and categorized as High risk.",2023-2024,Q4,3932900.84,21176071.63,-17243170.79,71282405.7,1354322.65,69928083.05,-438.43,Low,2022,-8.97,0.02,-24.19,1.26,-15764210.91,74.04,High
DOC_0066,Anderson PLC,2024 Q4 results indicate a profit of 11671010.91 with 21.89% growth and classified as Low risk under High margin.,2021-2022,Q4,19110320.01,7439309.1,11671010.91,23053368.65,31835814.58,-8782445.93,61.07,High,2024,21.89,-3.62,50.63,2.98,11262684.31,94.15,Low
DOC_0067,"Davis, Holland and Martinez","For Q2 2018, the firm achieved a 4.15% growth rate, with total revenue of 5651766.48, profit of -15274373.45, and categorized as High risk.",2024-2025,Q2,5651766.48,20926139.93,-15274373.45,99168009.95,35743559.28,63424450.67,-270.26,Low,2018,4.15,0.56,-15.4,2.75,-14516466.36,58.07,High
DOC_0068,Hill Group,"Revenue for Q1 2018 was 15172830.52 with corresponding expenses of 27418255.58, leading to a profit of -12245425.06. Risk profile: High.",2020-2021,Q1,15172830.52,27418255.58,-12245425.06,44757577.99,16584140.52,28173437.47,-80.71,Low,2018,-3.41,0.59,-27.36,1.7,-12424709.59,84.85,High
DOC_0069,Perez LLC,"For Q4 2024, the firm achieved a 10.65% growth rate, with total revenue of 35807259.59, profit of 7857254.43, and categorized as High risk.",2023-2024,Q4,35807259.59,27950005.16,7857254.43,24599066.51,43758769.64,-19159703.13,21.94,High,2024,10.65,-2.28,31.94,1.85,8616533.71,57.7,High
DOC_0070,Bishop LLC,"For Q1 2021, financial growth stood at 10.47%, with profit margins rated as Low and overall investment risk categorized as High.",2019-2020,Q1,14988661.33,29627992.69,-14639331.36,7805499.13,25450252.55,-17644753.42,-97.67,Low,2021,10.47,-1.44,-187.55,2.81,-14866233.91,77.09,High
DOC_0071,Daniels-Rose,"Q3 2023 performance shows revenue at 29585499.82, expenses at 5943653.09, and profit reaching 23641846.73. The period closed with a High margin.",2019-2020,Q3,29585499.82,5943653.09,23641846.73,87424432.12,40863162.65,46561269.47,79.91,High,2023,24.82,0.88,27.04,1.18,24763804.46,44.77,High
DOC_0072,Smith-Hale,The firm achieved a profit of 4703289.44 during Q4 2022 with total revenue reaching 32602277.48 and expenses of 27898988.04. The risk level was assessed as Medium.,2023-2024,Q4,32602277.48,27898988.04,4703289.44,93053199.22,40813708.66,52239490.56,14.43,Medium,2022,0.06,0.78,5.05,1.29,4772233.95,61.01,Medium
DOC_0073,"Roberts, Douglas and Mccarthy","Q3 2018 performance shows revenue at 26257145.06, expenses at 9145878.02, and profit reaching 17111267.04. The period closed with a High margin.",2023-2024,Q3,26257145.06,9145878.02,17111267.04,83420880.97,36098504.28,47322376.69,65.17,High,2018,19.31,0.76,20.51,2.99,16068341.46,65.76,Low
DOC_0074,King and Sons,The firm achieved a profit of 2330330.04 during Q2 2020 with total revenue reaching 25729960.35 and expenses of 23399630.31. The risk level was assessed as High.,2022-2023,Q2,25729960.35,23399630.31,2330330.04,98374123.9,46435856.0,51938267.9,9.06,Low,2020,-1.92,0.89,2.37,0.74,2243510.19,62.6,High
DOC_0075,Summers-Morris,The firm achieved a profit of 8474540.66 during Q1 2019 with total revenue reaching 10492827.71 and expenses of 2018287.05. The risk level was assessed as Low.,2024-2025,Q1,10492827.71,2018287.05,8474540.66,13862181.23,29135704.79,-15273523.56,80.77,High,2019,-5.71,-1.91,61.13,1.03,8146964.68,75.37,Low
DOC_0076,"Reed, Cook and Lee","In Q4 2018, the organization maintained a growth rate of -5.04%, achieving Low profit levels and High investment risk.",2021-2022,Q4,20951656.0,19603089.39,1348566.61,32724795.7,12444902.89,20279892.81,6.44,Low,2018,-5.04,0.61,4.12,1.37,1437473.17,47.99,High
DOC_0077,"Page, Singh and Kelly","For Q3 2018, financial growth stood at 1.06%, with profit margins rated as High and overall investment risk categorized as High.",2019-2020,Q3,40336999.23,9076990.59,31260008.64,99797460.25,23207114.97,76590345.28,77.5,High,2018,1.06,0.3,31.32,0.85,33419940.64,51.67,High
DOC_0078,Chapman-Jones,"In Q3 2020, the organization maintained a growth rate of 9.21%, achieving High profit levels and High investment risk.",2024-2025,Q3,18500340.94,14000278.74,4500062.2,33763229.66,14594605.14,19168624.52,24.32,High,2020,9.21,0.76,13.33,1.47,4086776.48,49.39,High
DOC_0079,Wilson-Hale,"Q2 2021 performance shows revenue at 41940457.51, expenses at 21697837.73, and profit reaching 20242619.78. The period closed with a High margin.",2020-2021,Q2,41940457.51,21697837.73,20242619.78,44804417.59,31387789.51,13416628.08,48.27,High,2021,7.75,2.34,45.18,2.89,21781582.62,72.33,Low
DOC_0080,"Lindsey, King and Mack","Revenue for Q3 2020 was 1235285.69 with corresponding expenses of 27163387.1, leading to a profit of -25928101.41. Risk profile: High.",2020-2021,Q3,1235285.69,27163387.1,-25928101.41,4709481.95,36677565.29,-31968083.34,-2098.96,Low,2020,19.75,-1.15,-550.55,1.29,-25852245.98,60.35,High
DOC_0081,Vazquez Group,"In Q4 2024, the company recorded a revenue of 46637907.42 and expenses of 7506079.7, resulting in a profit of 39131827.72. Overall performance was classified as High.",2024-2025,Q4,46637907.42,7506079.7,39131827.72,27320621.0,39542886.3,-12222265.3,83.91,High,2024,9.53,-3.24,143.23,2.96,40548177.25,85.96,Low
DOC_0082,"Gonzalez, Green and Myers","For Q1 2022, financial growth stood at 11.3%, with profit margins rated as Low and overall investment risk categorized as High.",2021-2022,Q1,3866840.9,19344621.31,-15477780.41,59753966.49,42827735.8,16926230.69,-400.27,Low,2022,11.3,2.53,-25.9,1.33,-14764964.38,80.14,High
DOC_0083,"Campbell, Jacobs and Graves","During Q3 2021, revenue totaled 23445035.95, while expenses were 26777323.53. The profit outcome was -3332287.58, marking a Low performance category.",2024-2025,Q3,23445035.95,26777323.53,-3332287.58,27460005.9,12151367.76,15308638.14,-14.21,Low,2021,-3.78,0.79,-12.14,1.88,-3068554.82,45.27,High
DOC_0084,Ford-Larson,"In Q3 2018, the organization maintained a growth rate of 24.82%, achieving High profit levels and Low investment risk.",2018-2019,Q3,19813362.97,15183062.79,4630300.18,36874897.1,15052068.39,21822828.71,23.37,High,2018,24.82,0.69,12.56,1.45,5035749.12,65.3,Low
DOC_0085,Tate-Harrison,"In Q4 2023, the organization maintained a growth rate of 19.8%, achieving Low profit levels and High investment risk.",2021-2022,Q4,2707050.08,8219591.87,-5512541.79,55511506.23,23585830.29,31925675.94,-203.64,Low,2023,19.8,0.74,-9.93,1.98,-5142182.55,62.48,High
DOC_0086,Castillo-Davies,"Revenue for Q4 2022 was 18333596.44 with corresponding expenses of 11329783.79, leading to a profit of 7003812.65. Risk profile: Low.",2018-2019,Q4,18333596.44,11329783.79,7003812.65,91176208.14,5040763.67,86135444.47,38.2,High,2022,8.41,0.06,7.68,0.88,6520812.54,92.63,Low
